Municipios;Nome;Populacao;Area;Densidade
426;Senador Salgado Filho;2814;19,12;147,18
427;Sentinela do Sul;5198;18,43;282,04
428;Serafina Corrêa;14253;87,29;163,28
429;Sério;2281;22,9;99,61
430;Sertão;6294;14,32;439,53
431;Sertão Santana;5850;23,23;251,83
432;Sete de Setembro;2124;16,34;129,99
433;Severiano de Almeida;3842;22,92;167,63
434;Silveira Martins;2449;20,68;118,42
435;Sinimbu;10068;19,74;510,03
436;Sobradinho;14283;109,54;130,39
437;Soledade;30044;24,76;1213,41
438;Tabaí;4131;43,6;94,75
439;Tapejara;19250;80,61;238,80
440;Tapera;10448;58,15;179,67
441;Tapes;16629;20,62;806,45
442;Taquara;54643;119,35;457,84
443;Taquari;26092;74,56;349,95
444;Taquaruçu do Sul;2966;38,6;76,84
445;Tavares;5351;8,86;603,95
446;Tenente Portela;13719;40,58;338,07
447;Terra de Areia;9878;69,67;141,78
448;Teutônia;27272;152,68;178,62
449;Tio Hugo;2724;23,85;114,21
450;Tiradentes do Sul;6461;27,55;234,52
451;Toropi;2952;14,54;203,03
452;Torres;34656;215,84;160,56
453;Tramandaí;41585;287,97;144,41
454;Travesseiro;2314;28,52;81,14
455;Três Arroios;2855;19,21;148,62
456;Três Cachoeiras;10217;40,7;251,03
457;Três Coroas;23848;128,53;185,54
458;Três de Maio;23726;56,2;422,17
459;Três Forquilhas;2914;13,41;217,30
460;Três Palmeiras;4381;24,26;180,59
461;Três Passos;23965;89,29;268,40
462;Trindade do Sul;5787;21,56;268,41
463;Triunfo;25793;31,5;818,83
464;Tucunduva;5898;32,62;180,81
465;Tunas;4395;20,15;218,11
466;Tupanci do Sul;1573;11,64;135,14
467;Tupanciretã;22281;9,89;2252,88
468;Tupandi;3924;65,9;59,54
469;Tuparendi;8557;27,81;307,70
470;Turuçu;3522;13,89;253,56
471;Ubiretama;2296;18,12;126,71
472;União da Serra;1487;11,35;131,01
473;Unistalda;2450;4,07;601,97
474;Uruguaiana;125435;21,95;5714,58
475;Vacaria;61342;28,87;2124,77
476;Vale do Sol;11077;33,75;328,21
477;Vale Real;5118;113,52;45,08
478;Vale Verde;3253;9,87;329,58
479;Vanini;1984;30,58;64,88
480;Venâncio Aires;65946;85,29;773,20
481;Vera Cruz;23983;77,46;309,62
482;Veranópolis;22810;78,83;289,36
483;Vespasiano Corrêa;1974;17,33;113,91
484;Viadutos;5311;19,79;268,37
485;Viamão;239384;159,91;1496,99
486;Vicente Dutra;5285;27,38;193,02
487;Victor Graeff;3036;12,74;238,30
488;Vila Flores;3207;29,72;107,91
489;Vila Lângaro;2152;14,14;152,19
490;Vila Maria;4221;23,26;181,47
491;Vila Nova do Sul;4221;8,31;507,94
492;Vista Alegre;2832;36,56;77,46
493;Vista Alegre do Prata;1569;13,15;119,32
494;Vista Gaúcha;2759;31,1;88,71
495;Vitória das Missões;3485;13,42;259,69
496;Westfália;2793;43,64;64,00
497;Xangri-lá;12434;204,88;60,69
